Strains,states
K_001,3
K_002,3
K_003,3
K_004,3
K_005,3
K_006,3
K_007,3
K_008,3
K_009,3
K_010,3
K_011,3
K_012,3
K_013,3
K_014,3
K_015,3
K_016,3
K_017,3
K_018,3
K_019,3
K_020,3
K_021,3
K_022,3
K_023,3
K_024,3
K_025,3
K_026,3
K_027,3
K_028,3
K_029,3
K_030,3
K_031,3
K_032,3
K_033,3
K_034,3
K_035,3
K_036,3
K_037,4
K_038,3
K_039,3
K_040,3
K_041,3
K_042,3
K_043,4
K_044,3
K_046,3
K_048,3
K_049,3
K_051,3
K_052,3
K_053,3
K_055,3
K_057,3
K_059,3
K_060,3
K_061,3
K_062,3
K_063,3
K_064,3
K_065,3
K_066,3
K_067,3
K_071,3
K_072,3
K_073,3
K_074,3
K_075,3
K_076,3
K_077,3
K_078,3
K_079,3
K_080,3
K_081,3
K_082,3
K_083,3
K_084,3
K_085,3
K_086,3
K_087,3
K_089,3
K_090,3
K_091,3
K_093,3
K_094,3
K_095,3
K_096,3
K_097,3
K_098,3
K_099,3
K_100,3
K_102,3
K_103,3
K_104,3
K_106,3
K_108,3
K_110,3
K_111,3
K_112,3
K_113,3
K_114,3
K_115,3
K_116,3
K_117,3
K_118,3
K_120,3
K_121,3
K_122,3
K_123,4
K_124,3
K_126,3
K_127,3
K_128,3
K_129,3
K_132,3
K_133,3
K_134,3
K_135,3
K_137,3
K_138,3
K_140,3
K_141,3
K_142,3
K_160,3
K_162,3
U_001,1
U_002,2
U_003,1
U_004,2
U_005,1
U_006,2
U_007,2
U_008,2
U_009,2
U_010,2
U_011,2
U_012,2
U_013,2
U_014,2
U_015,2
U_016,2
U_017,2
U_018,2
U_019,1
U_020,1
U_021,2
U_022,1
U_023,2
U_024,2
U_025,2
U_026,2
U_027,2
U_028,2
U_029,2
U_030,2
U_031,2
U_032,1
U_033,2
U_034,2
U_035,2
U_036,2
U_037,2
U_038,2
U_039,2
U_040,2
U_041,2
U_042,2
U_043,1
U_044,2
U_045,2
U_046,2
U_047,2
U_048,2
U_049,2
U_050,2
U_051,2
U_052,2
U_053,2
U_054,2
U_055,2
U_057,2
U_058,2
U_059,1
U_060,2
U_061,2
U_062,2
U_063,2
U_064,2
U_066,2
U_067,2
U_068,2
U_069,2
U_070,2
U_071,2
U_072,2
U_073,2
U_074,2
U_075,2
U_076,2
U_077,1
U_079,2
U_080,2
U_081,2
U_082,2
U_083,2
U_084,2
U_085,2
U_086,2
U_087,2
U_088,2
U_089,2
U_090,2
U_091,1
U_092,1
U_093,2
U_094,2
U_095,2
U_096,2
U_097,2
U_098,2
U_099,2
U_100,2
U_101,2
U_102,2
U_103,2
U_104,2
U_105,2
U_106,2
U_107,2
U_108,2
U_109,2
U_110,2
U_111,2
U_112,2
U_113,2
U_114,2
U_115,2
U_116,2
U_117,2
U_118,2
U_119,2
U_120,2
U_121,2
U_124,2
U_125,2
U_126,1
U_127,2
U_128,2
U_130,2
U_131,2
U_134,2
U_135,2
U_136,2
