Strains,states
K_001,4
K_002,4
K_003,4
K_004,4
K_005,4
K_006,4
K_007,4
K_008,4
K_009,4
K_010,4
K_011,4
K_012,4
K_013,4
K_014,3
K_015,4
K_016,4
K_017,4
K_018,4
K_019,4
K_020,4
K_021,4
K_022,4
K_023,4
K_024,4
K_025,3
K_026,4
K_027,4
K_028,4
K_029,4
K_030,4
K_031,4
K_032,4
K_033,4
K_034,4
K_035,4
K_036,4
K_037,4
K_038,4
K_039,4
K_040,4
K_041,4
K_042,4
K_043,4
K_044,4
K_046,4
K_048,4
K_049,4
K_051,3
K_052,4
K_053,4
K_055,4
K_057,4
K_059,4
K_060,4
K_061,4
K_062,3
K_063,4
K_064,4
K_065,4
K_066,4
K_067,4
K_071,4
K_072,4
K_073,4
K_074,4
K_075,4
K_076,4
K_077,4
K_078,4
K_079,4
K_080,4
K_081,4
K_082,4
K_083,4
K_084,4
K_085,4
K_086,4
K_087,4
K_089,4
K_090,4
K_091,4
K_093,4
K_094,4
K_095,4
K_096,4
K_097,4
K_098,4
K_099,4
K_100,4
K_102,4
K_103,4
K_104,4
K_106,4
K_108,4
K_110,4
K_111,4
K_112,4
K_113,4
K_114,4
K_115,4
K_116,4
K_117,4
K_118,4
K_120,4
K_121,4
K_122,4
K_123,4
K_124,4
K_126,4
K_127,3
K_128,4
K_129,4
K_132,4
K_133,4
K_134,4
K_135,4
K_137,4
K_138,4
K_140,4
K_141,4
K_142,4
K_160,4
K_162,4
U_001,1
U_002,1
U_003,1
U_004,1
U_005,1
U_006,2
U_007,1
U_008,1
U_009,1
U_010,1
U_011,1
U_012,1
U_013,2
U_014,2
U_015,1
U_016,1
U_017,1
U_018,2
U_019,1
U_020,1
U_021,1
U_022,1
U_023,2
U_024,1
U_025,1
U_026,2
U_027,1
U_028,1
U_029,1
U_030,2
U_031,1
U_032,1
U_033,2
U_034,1
U_035,2
U_036,2
U_037,1
U_038,1
U_039,1
U_040,2
U_041,1
U_042,1
U_043,1
U_044,1
U_045,1
U_046,2
U_047,2
U_048,1
U_049,2
U_050,1
U_051,1
U_052,1
U_053,1
U_054,2
U_055,1
U_057,1
U_058,2
U_059,1
U_060,1
U_061,1
U_062,1
U_063,2
U_064,1
U_066,2
U_067,2
U_068,1
U_069,2
U_070,1
U_071,1
U_072,2
U_073,1
U_074,1
U_075,2
U_076,1
U_077,1
U_079,1
U_080,1
U_081,1
U_082,2
U_083,2
U_084,2
U_085,2
U_086,1
U_087,2
U_088,2
U_089,1
U_090,2
U_091,1
U_092,1
U_093,1
U_094,1
U_095,1
U_096,1
U_097,1
U_098,2
U_099,1
U_100,1
U_101,2
U_102,2
U_103,1
U_104,1
U_105,2
U_106,1
U_107,2
U_108,1
U_109,1
U_110,2
U_111,2
U_112,2
U_113,1
U_114,2
U_115,1
U_116,1
U_117,1
U_118,1
U_119,2
U_120,1
U_121,1
U_124,1
U_125,2
U_126,1
U_127,1
U_128,1
U_130,1
U_131,1
U_134,1
U_135,1
U_136,1
